                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0488,                0.66594,                 1.1046,                0.89206,                0.88215,                0.93693,                0.68247,                 1.0511,                0.60827,                 1.1197,             0.00041579,             0.00041579,             0.00041579
                      2,                 1.0951,                0.72513,                 1.1298,                0.85903,                0.79828,                0.87647,                0.62375,                 1.1168,                0.69718,                 1.1376,             0.00080498,             0.00080498,             0.00080498
                      3,                 1.1335,                0.78073,                 1.1499,                0.84725,                0.81318,                0.89631,                0.63255,                 1.1071,                0.70116,                 1.1426,              0.0011667,              0.0011667,              0.0011667
                      4,                 1.1291,                0.78853,                 1.1442,                0.84901,                0.84023,                0.91087,                0.65039,                 1.1104,                0.69589,                 1.1476,              0.0011263,              0.0011263,              0.0011263
                      5,                 1.1246,                0.74656,                 1.1404,                0.87513,                0.86573,                0.92104,                0.65766,                 1.0971,                0.63292,                 1.1468,               0.001085,               0.001085,               0.001085
                      6,                 1.1104,                0.72195,                 1.1449,                0.88559,                0.87225,                0.93142,                0.66521,                 1.0799,                0.63512,                 1.1412,              0.0010438,              0.0010438,              0.0010438
                      7,                 1.0939,                0.69824,                 1.1261,                0.89255,                0.88904,                0.94241,                0.68476,                 1.0679,                0.60286,                 1.1179,              0.0010025,              0.0010025,              0.0010025
                      8,                 1.0736,                0.67495,                 1.1178,                0.88197,                0.87687,                0.93579,                0.67696,                 1.0839,                0.63347,                 1.1372,             0.00096125,             0.00096125,             0.00096125
                      9,                 1.0667,                0.67418,                 1.1073,                0.90173,                0.88749,                0.94461,                0.68696,                 1.0618,                0.57999,                 1.1248,                0.00092,                0.00092,                0.00092
                     10,                 1.0564,                0.64838,                  1.105,                0.89201,                0.90002,                0.94405,                0.69364,                 1.0486,                0.55981,                 1.1114,             0.00087875,             0.00087875,             0.00087875
                     11,                 1.0449,                 0.6385,                 1.1012,                0.85434,                0.91771,                0.92914,                 0.6804,                 1.0472,                0.59594,                 1.1109,              0.0008375,              0.0008375,              0.0008375
                     12,                 1.0495,                0.63698,                 1.0915,                0.91011,                0.88899,                0.94069,                0.69251,                 1.0512,                0.57707,                  1.103,             0.00079625,             0.00079625,             0.00079625
                     13,                 1.0425,                0.60402,                 1.0931,                0.91868,                0.89174,                0.95559,                0.71054,                 1.0412,                  0.543,                 1.1067,               0.000755,               0.000755,               0.000755
                     14,                 1.0199,                0.59528,                 1.0835,                0.91524,                0.90965,                0.96033,                0.71784,                 1.0215,                0.52846,                 1.0834,             0.00071375,             0.00071375,             0.00071375
                     15,                 1.0155,                0.59395,                 1.0846,                0.90588,                0.91949,                0.95413,                  0.703,                 1.0477,                 0.5627,                 1.1138,              0.0006725,              0.0006725,              0.0006725
                     16,                  1.006,                0.58986,                 1.0776,                0.91146,                0.90697,                0.95219,                0.71475,                 1.0217,                0.52734,                 1.0933,             0.00063125,             0.00063125,             0.00063125
                     17,                0.99632,                0.56809,                 1.0741,                0.92201,                0.90865,                 0.9632,                0.72757,                 1.0043,                0.51263,                 1.0806,                0.00059,                0.00059,                0.00059
                     18,                0.98431,                 0.5518,                 1.0697,                0.92448,                0.92059,                0.96432,                0.72646,                 1.0119,                0.50793,                 1.0793,             0.00054875,             0.00054875,             0.00054875
                     19,                0.98303,                0.55557,                 1.0577,                0.91955,                0.90892,                0.96789,                0.72885,                 1.0148,                 0.5135,                 1.0795,              0.0005075,              0.0005075,              0.0005075
                     20,                0.96406,                0.54032,                 1.0551,                0.93673,                0.90392,                 0.9612,                 0.7221,                 1.0118,                0.50487,                 1.0812,             0.00046625,             0.00046625,             0.00046625
                     21,                0.94397,                0.48386,                 1.0408,                0.90909,                0.93181,                0.96523,                0.72573,                 1.0152,                0.49826,                  1.079,               0.000425,               0.000425,               0.000425
                     22,                0.93166,                0.47238,                 1.0305,                0.92661,                0.93146,                0.96922,                0.73723,                 1.0078,                0.49889,                 1.0783,             0.00038375,             0.00038375,             0.00038375
                     23,                 0.9193,                 0.4582,                 1.0275,                 0.9357,                0.93323,                0.97241,                0.73956,                0.99521,                0.46928,                 1.0697,              0.0003425,              0.0003425,              0.0003425
                     24,                0.91326,                0.45043,                 1.0254,                0.92891,                0.92915,                0.96707,                0.73261,                0.99733,                0.48017,                 1.0751,             0.00030125,             0.00030125,             0.00030125
                     25,                0.91065,                0.44734,                 1.0241,                0.92509,                0.92153,                0.96909,                0.74309,                0.98302,                0.47674,                 1.0646,                0.00026,                0.00026,                0.00026
                     26,                0.89291,                0.43425,                 1.0144,                0.92611,                0.91945,                0.97085,                 0.7444,                0.98213,                0.47243,                 1.0682,             0.00021875,             0.00021875,             0.00021875
                     27,                 0.8822,                0.42735,                 1.0143,                0.91279,                 0.9501,                0.97294,                0.74789,                0.98927,                0.45878,                 1.0711,              0.0001775,              0.0001775,              0.0001775
                     28,                0.87391,                0.41407,                 1.0128,                0.92514,                0.93693,                0.97154,                0.74916,                0.97816,                0.45388,                 1.0702,             0.00013625,             0.00013625,             0.00013625
                     29,                0.85902,                0.40923,                 1.0035,                0.91655,                0.94105,                0.97435,                0.75221,                0.96784,                0.44993,                 1.0623,                9.5e-05,                9.5e-05,                9.5e-05
                     30,                0.85235,                0.40631,                0.99409,                0.91761,                0.94068,                0.97285,                0.75232,                0.96737,                0.45004,                 1.0612,              5.375e-05,              5.375e-05,              5.375e-05
